"rate","rate2","name","count","population","code","long","lat","len"
2.53336265892532,2.53336265892532,"AGUASCALIENTES, AGUASCALIENTES",11,868411,1001,-102.2958029009,21.8114362313,6
0,0,"ASIENTOS, AGUASCALIENTES",0,49499,1002,-102.0456380704,22.1265081643,6
0,0,"CALVILLO, AGUASCALIENTES",0,57846,1003,-102.7049039392,21.9006944874,6
0,0,"COSIO, AGUASCALIENTES",0,16239,1004,-102.2970416588,22.360626738,6
0,0,"EL LLANO, AGUASCALIENTES",0,20330,1010,-102.035398522,21.9215194323,6
0,0,"JESUS MARIA, AGUASCALIENTES",0,112039,1005,-102.445649261,21.9321175043,6
4.46269189575152,4.46269189575152,"PABELLON DE ARTEAGA, AGUASCALIENTES",1,44816,1006,-102.3016772257,22.1045423628,6
7.57791039120962,7.57791039120962,"RINCON DE ROMOS, AGUASCALIENTES",2,52785,1007,-102.3407287275,22.2674077478,6
4.91255649439969,4.91255649439969,"SAN FRANCISCO DE LOS ROMO, AGUASCALIENTES",1,40712,1011,-102.2290213837,22.0330705095,6
0,0,"SAN JOSE DE GRACIA, AGUASCALIENTES",0,9176,1008,-102.5258387194,22.1466346066,6
0,0,"TEPEZALA, AGUASCALIENTES",0,21503,1009,-102.1921305862,22.236973791,6
8.03933916632053,8.03933916632053,"ENSENADA, BAJA CALIFORNIA",21,522431,2001,-114.9585203506,30.0361552515,6
8.15338457670831,8.15338457670831,"MEXICALI, BAJA CALIFORNIA",42,1030247,2002,-115.1640962402,31.739019681,6
51.0401799638938,51.0401799638938,"PLAYAS DE ROSARITO, BAJA CALIFORNIA",27,105799,2005,-116.8907398006,32.2529419374,6
32.258064516129,32.258064516129,"TECATE, BAJA CALIFORNIA",18,111600,2003,-116.268975178,32.4408886836,6
40.9031271827278,40.9031271827278,"TIJUANA, BAJA CALIFORNIA",354,1730919,2004,-116.8199700244,32.4040719522,6
4.99008221160444,4.99008221160444,"COMONDU, BAJA CALIFORNIA SUR",2,80159,3001,-111.820072463,25.4913463258,6
12.2953759140417,12.2953759140417,"LA PAZ, BAJA CALIFORNIA SUR",18,292793,3003,-110.6633116613,24.1904743346,6
9.3905531035778,9.3905531035778,"LORETO, BAJA CALIFORNIA SUR",1,21298,3009,-111.448485705,25.9531674094,6
7.10300650893687,7.10300650893687,"LOS CABOS, BAJA CALIFORNIA SUR",11,309728,3008,-109.7532777578,23.2766125155,6
8.87626486774365,8.87626486774365,"MULEGE, BAJA CALIFORNIA SUR",3,67596,3002,-113.2307309982,27.2860839474,6
6.68069612853659,6.68069612853659,"CALAKMUL, CAMPECHE",1,29937,4010,-89.6615735129,18.402829116,6
0,0,"CALKINI, CAMPECHE",0,57952,4001,-90.2180314389,20.3843892635,6
5.55827679523656,5.55827679523656,"CAMPECHE, CAMPECHE",8,287859,4002,-90.2676439518,19.6170144017,6
13.1521262604121,13.1521262604121,"CANDELARIA, CAMPECHE",3,45620,4011,-90.7165644021,18.0990385059,6
12.0938482625171,12.0938482625171,"CARMEN, CAMPECHE",15,248060,4003,-91.4832283959,18.5240419873,6
4.36014824504033,4.36014824504033,"CHAMPOTON, CAMPECHE",2,91740,4004,-90.4993174596,19.1342119545,6
10.0359621978757,10.0359621978757,"ESCARCEGA, CAMPECHE",3,59785,4009,-90.4743500995,18.5505982567,6
0,0,"HECELCHAKAN, CAMPECHE",0,30747,4005,-90.1354179752,20.124441654,6
0,0,"HOPELCHEN, CAMPECHE",0,41313,4006,-89.6096439681,19.4740717372,6
22.8466986520448,22.8466986520448,"PALIZADA, CAMPECHE",1,8754,4007,-91.9738726987,18.2735998362,6
0,0,"TENABO, CAMPECHE",0,10657,4008,-90.2330173564,19.9696386269,6
21.5308429325008,21.5308429325008,"ACACOYAGUA, CHIAPAS",2,18578,7001,-92.6816853605,15.4141398369,6
0,0,"ACALA, CHIAPAS",0,31824,7002,-92.8409025414,16.5377529197,6
13.0783063593265,13.0783063593265,"ACAPETAHUA, CHIAPAS",2,30585,7003,-92.7740248302,15.2314144722,6
0,0,"ALDAMA, CHIAPAS",0,5184,7113,-92.6901760591,16.9218309233,6
0,0,"ALTAMIRANO, CHIAPAS",0,33859,7004,-91.8625729811,16.6618845042,6
0,0,"AMATAN, CHIAPAS",0,22825,7005,-92.8573383012,17.3855938937,6
6.0582194892921,6.0582194892921,"AMATENANGO DE LA FRONTERA, CHIAPAS",1,33013,7006,-92.0971633898,15.5568350611,6
0,0,"AMATENANGO DEL VALLE, CHIAPAS",0,9137,7007,-92.3954271343,16.5152895541,6
0,0,"ANGEL ALBINO CORZO, CHIAPAS",0,26844,7008,-92.6804480106,15.7581479656,6
14.1968151811277,14.1968151811277,"ARRIAGA, CHIAPAS",3,42263,7009,-93.9373605254,16.2488838981,6
0,0,"BEJUCAL DE OCAMPO, CHIAPAS",0,8310,7010,-92.1612926735,15.4917552487,6
0,0,"BELLA VISTA, CHIAPAS",0,20826,7011,-92.242416876,15.6195845995,6
0,0,"BENEMERITO DE LAS AMERICAS, CHIAPAS",0,19062,7114,-90.5625088018,16.2818360073,6
23.7257305547867,23.7257305547867,"BERRIOZABAL, CHIAPAS",6,50578,7012,-93.3190748017,16.8666066536,6
11.7969740761495,11.7969740761495,"BOCHIL, CHIAPAS",2,33907,7013,-92.9587902172,17.014122762,6
0,0,"CACAHOATAN, CHIAPAS",0,47058,7015,-92.164134463,15.0862410698,6
21.6391668920747,21.6391668920747,"CATAZAJA, CHIAPAS",2,18485,7016,-91.9976037521,17.7798712782,6
0,0,"CHALCHIHUITAN, CHIAPAS",0,14680,7022,-92.6118017477,17.0212705424,6
9.47799919437007,9.47799919437007,"CHAMULA, CHIAPAS",4,84406,7023,-92.6801690862,16.8193658229,6
0,0,"CHANAL, CHIAPAS",0,11585,7024,-92.216970438,16.6115332154,6
0,0,"CHAPULTENANGO, CHIAPAS",0,7735,7025,-93.1315375885,17.3267974344,6
10.1848551204359,10.1848551204359,"CHENALHO, CHIAPAS",2,39274,7026,-92.5704351538,16.9501571712,6
16.0475006017813,16.0475006017813,"CHIAPA DE CORZO, CHIAPAS",8,99704,7027,-92.9706341667,16.5980760105,6
0,0,"CHIAPILLA, CHIAPAS",0,5876,7028,-92.7259440725,16.5539728252,6
0,0,"CHICOASEN, CHIAPAS",0,5205,7029,-93.1115199703,16.9953330494,6
5.78118225177049,5.78118225177049,"CHICOMUSELO, CHIAPAS",1,34595,7030,-92.3912898612,15.799032255,6
9.79320025462321,9.79320025462321,"CHILON, CHIAPAS",6,122534,7031,-92.0351418758,17.1096912139,6
14.3242533482942,14.3242533482942,"CINTALAPA, CHIAPAS",6,83774,7017,-93.8674714442,16.7129625186,6
21.8746582084655,21.8746582084655,"COAPILLA, CHIAPAS",1,9143,7018,-93.1260784247,17.1205748962,6
8.78657411475266,8.78657411475266,"COMITAN DE DOMINGUEZ, CHIAPAS",7,159334,7019,-92.1789740522,16.2968835858,6
0,0,"COPAINALA, CHIAPAS",0,22358,7021,-93.2528604549,17.0941744093,6
